,ontology,failed,failed_repair,steps,time,calls,iic_mcs,iic_remove,inf_mcs,inf_weakening,inf_remove
63,admin,False,False,1.0,2656.0,3171.0,0.5,0.5,198.0,198.0,198.0
64,admin,False,False,93.0,245743.0,83639.0,0.6666666666666666,0.0,190.0,191.0,192.0
65,admin,False,False,1.0,2270.0,1660.0,0.0,0.5,192.0,191.0,191.0
66,admin,False,False,1.0,2391.0,1652.0,0.0,0.5,849.0,193.0,193.0
67,admin,False,False,1.0,2568.0,1809.0,0.0,1.0,847.0,233.0,192.0
68,admin,False,False,1.0,2326.0,2062.0,0.5,0.5,191.0,191.0,191.0
69,admin,False,False,1.0,2300.0,2226.0,0.0,0.5,232.0,191.0,191.0
70,admin,False,False,4.0,4552.0,4212.0,0.0,0.5,849.0,191.0,191.0
71,admin,False,False,1.0,2498.0,2263.0,0.0,0.5,849.0,193.0,193.0
72,admin,False,False,1.0,2525.0,1295.0,1.0,1.0,241.0,591.0,241.0
73,admin,False,False,1.0,2672.0,2962.0,0.005050505050505051,1.0,782.0,586.0,208.0
74,admin,False,False,3.0,5192.0,8422.0,0.0,0.0,192.0,182.0,192.0
75,admin,False,False,1.0,2553.0,2139.0,0.5,0.5,246.0,246.0,246.0
76,admin,False,False,3.0,5063.0,8218.0,0.0,0.0,192.0,176.0,192.0
77,admin,False,False,3.0,4099.0,3637.0,0.0,0.5,251.0,234.0,234.0
78,admin,False,False,1.0,2404.0,2034.0,0.5,0.5,272.0,272.0,272.0
79,admin,False,False,4.0,6577.0,6041.0,0.8426966292134831,0.975609756097561,226.0,287.0,248.0
80,admin,False,False,1.0,2408.0,1881.0,0.9981060606060606,1.0,282.0,808.0,267.0
81,admin,False,False,2.0,3790.0,2616.0,1.0,0.5,182.0,198.0,198.0
82,admin,False,False,1.0,2570.0,3101.0,0.5,0.5,191.0,191.0,191.0
83,admin,False,False,3.0,4070.0,3498.0,0.0,0.5,254.0,237.0,237.0
84,admin,False,False,1.0,2418.0,1966.0,0.5,0.5,191.0,191.0,191.0
85,admin,False,False,3.0,4664.0,4012.0,0.0,1.0,824.0,209.0,193.0
86,admin,False,False,1.0,2887.0,5016.0,0.5,0.5,275.0,275.0,275.0
87,admin,False,False,1.0,2639.0,2052.0,0.930327868852459,0.5,335.0,545.0,545.0
88,admin,False,False,4.0,4723.0,4805.0,0.0,0.5,209.0,193.0,193.0
89,admin,False,False,1.0,2834.0,2280.0,0.66,0.5,261.0,277.0,277.0
90,admin,False,False,1.0,1791.0,1487.0,1.0,0.5,216.0,232.0,232.0
91,admin,False,False,1.0,2053.0,2988.0,0.6875,0.0,179.0,185.0,195.0
92,admin,False,False,1.0,1874.0,1759.0,0.8255813953488372,1.0,230.0,286.0,213.0
93,admin,False,False,3.0,2423.0,3366.0,0.5,0.5,324.0,324.0,324.0
94,admin,False,False,1.0,2209.0,2263.0,0.0,0.5,859.0,201.0,201.0
95,admin,False,False,1.0,2323.0,2826.0,0.03614457831325301,1.0,463.0,232.0,192.0
96,admin,False,False,1.0,1924.0,2011.0,0.0,0.5,314.0,275.0,275.0
97,admin,False,False,1.0,1426.0,3878.0,1.0,1.0,195.0,282.0,195.0
98,admin,False,False,3.0,2415.0,4896.0,0.0,0.5,906.0,243.0,243.0
99,admin,False,False,1.0,1459.0,2938.0,0.9798850574712644,1.0,207.0,541.0,191.0
100,admin,True,True,,,,,,,,
101,ahso,False,False,2.0,3353.0,3803.0,1.0,1.0,579.0,642.0,579.0
102,ahso,False,False,3.0,6310.0,5441.0,0.4461538461538462,0.5,498.0,491.0,491.0
103,ahso,False,False,2.0,4381.0,3890.0,0.4025157232704403,0.5,801.0,770.0,770.0
104,ahso,False,False,2.0,5121.0,4651.0,0.4329896907216495,0.2736842105263158,793.0,754.0,797.0
105,ahso,False,False,1.0,21469.0,2314.0,0.43333333333333335,0.5,810.0,742.0,742.0
106,ahso,False,False,1.0,3833.0,3801.0,0.5377906976744186,0.36904761904761907,605.0,631.0,653.0
107,ahso,False,False,4.0,17623.0,9088.0,0.7075268817204301,0.8559322033898306,874.0,1067.0,983.0
108,ahso,False,False,2.0,13008.0,6058.0,0.3076923076923077,0.3391812865497076,673.0,663.0,773.0
109,ahso,False,False,2.0,3484.0,4639.0,0.5963855421686747,0.6567796610169492,532.0,596.0,522.0
110,ahso,False,False,1.0,2500.0,3207.0,0.5,0.5,594.0,594.0,594.0
111,ahso,False,False,2.0,16770.0,4604.0,0.0,0.0,657.0,570.0,657.0
112,ahso,False,False,1.0,3706.0,3379.0,0.6351351351351351,0.8873873873873874,858.0,878.0,706.0
113,ahso,False,False,2.0,3864.0,5877.0,0.23954372623574144,0.5,850.0,576.0,576.0
114,ahso,False,False,2.0,2185.0,3864.0,1.0,0.8454935622317596,367.0,530.0,369.0
115,ahso,False,False,1.0,2247.0,3584.0,0.5,0.5,664.0,664.0,664.0
116,ahso,False,False,2.0,3255.0,3360.0,0.0703125,1.0,959.0,739.0,653.0
117,ahso,False,False,1.0,1844.0,3355.0,0.5,0.5,773.0,773.0,773.0
118,ahso,False,False,1.0,4199.0,3730.0,0.603448275862069,0.3358208955223881,721.0,733.0,909.0
119,ahso,False,False,1.0,2825.0,2595.0,0.7573529411764706,0.5,568.0,638.0,638.0
120,ahso,False,False,1.0,4429.0,2551.0,0.3284671532846715,0.5,1017.0,876.0,876.0
121,ahso,False,False,1.0,2823.0,5783.0,1.0,1.0,576.0,606.0,576.0
122,ahso,False,False,1.0,1846.0,3787.0,0.1274787535410765,0.1274787535410765,746.0,483.0,746.0
123,ahso,False,False,2.0,4707.0,4901.0,0.23850574712643677,0.51,1020.0,838.0,836.0
124,ahso,False,False,3.0,49851.0,5444.0,0.18779342723004694,0.567741935483871,997.0,731.0,710.0
125,ahso,False,False,2.0,2397.0,3292.0,0.8849206349206349,0.4444444444444444,364.0,558.0,565.0
126,ahso,False,False,1.0,2083.0,2769.0,0.5,0.6914893617021277,559.0,559.0,487.0
127,ahso,False,False,1.0,2490.0,1424.0,1.0,0.5,577.0,674.0,674.0
128,ahso,False,False,22.0,83583.0,30122.0,0.9877112135176651,0.5,625.0,1260.0,1260.0
129,ahso,False,False,2.0,5336.0,5212.0,0.0,0.16666666666666666,711.0,588.0,708.0
130,ahso,False,False,3.0,6741.0,5535.0,0.823170731707317,0.5,578.0,684.0,684.0
131,ahso,False,False,1.0,2777.0,3388.0,0.5,0.5,634.0,634.0,634.0
132,ahso,False,False,1.0,2076.0,3301.0,0.0,1.0,750.0,594.0,593.0
133,ahso,False,False,1.0,1381.0,3935.0,1.0,0.5,308.0,342.0,342.0
134,ahso,False,False,1.0,2241.0,3291.0,0.49206349206349204,0.4745762711864407,536.0,535.0,544.0
135,ahso,False,False,1.0,21182.0,3964.0,0.5,0.5607476635514018,873.0,873.0,860.0
136,ahso,False,False,1.0,2980.0,3401.0,0.20812182741116753,0.5,1094.0,864.0,864.0
137,ahso,False,False,2.0,5361.0,4512.0,0.4357638888888889,0.8165680473372781,1016.0,942.0,835.0
138,ahso,False,False,1.0,14336.0,4468.0,0.7886497064579256,0.5,797.0,1092.0,1092.0
139,ahso,False,False,1.0,2246.0,3316.0,0.5,0.425,472.0,472.0,496.0
140,ahso,False,False,1.0,1719.0,3026.0,0.5,0.4596774193548387,511.0,511.0,521.0
141,ahso,False,False,1.0,3584.0,2920.0,0.3827751196172249,0.38,935.0,886.0,946.0
142,ahso,False,False,3.0,4550.0,5113.0,0.6550387596899225,1.0,629.0,709.0,683.0
143,ahso,False,False,3.0,6774.0,5576.0,0.1557377049180328,0.4727272727272727,956.0,788.0,791.0
144,ahso,False,False,6.0,18090.0,11616.0,0.0,0.30303030303030304,833.0,561.0,600.0
145,ahso,False,False,23.0,28485.0,28762.0,1.0,1.0,671.0,694.0,671.0
146,ahso,False,False,2.0,12367.0,6787.0,1.0,0.7480916030534351,591.0,666.0,601.0
147,ahso,False,False,1.0,1667.0,2463.0,0.6185567010309279,0.9179487179487179,736.0,759.0,596.0
148,ahso,False,False,1.0,1929.0,2664.0,0.3333333333333333,1.0,778.0,691.0,662.0
149,ahso,False,False,1.0,8206.0,4941.0,1.0,1.0,675.0,758.0,675.0
150,ahso,False,False,1.0,2074.0,2758.0,0.66,0.5,913.0,945.0,945.0
151,ahso,False,False,1.0,226223.0,4435.0,0.7410714285714286,0.6541353383458647,1024.0,1132.0,1091.0
152,ahso,False,False,1.0,2697.0,4555.0,0.2261904761904762,0.6037735849056604,894.0,848.0,837.0
153,ahso,False,False,1.0,1831.0,2998.0,0.34444444444444444,0.34444444444444444,802.0,774.0,802.0
154,ahso,False,False,1.0,11613.0,1881.0,0.3783783783783784,0.4444444444444444,943.0,907.0,933.0
155,ahso,False,False,2.0,3870.0,3700.0,0.5802752293577982,0.5,913.0,983.0,983.0
156,ahso,False,False,1.0,4918.0,3313.0,0.16487455197132617,0.7168949771689498,816.0,629.0,534.0
157,ahso,False,False,1.0,2192.0,3338.0,0.805668016194332,1.0,713.0,864.0,845.0
158,ahso,False,False,2.0,12916.0,7312.0,0.96875,0.0,755.0,785.0,816.0
159,ahso,False,False,1.0,11217.0,3590.0,0.0,0.5,816.0,775.0,775.0
160,ahso,False,False,1.0,2186.0,2363.0,0.11692307692307692,1.0,783.0,534.0,508.0
161,ahso,False,False,3.0,10612.0,5088.0,0.4105691056910569,0.5,691.0,647.0,647.0
162,ahso,False,False,1.0,1966.0,2311.0,0.25,0.5,946.0,862.0,862.0
163,ahso,False,False,1.0,88700.0,4007.0,0.2192622950819672,1.0,1153.0,879.0,850.0
